Model already exists: ../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 1 | Loss:   0.6220 | w0: 0.9360 | w1: 0.0640 | r0: 0.2350 | r1: 0.3235 | st0: 0.9382 | st1: 0.9989 | sd0: 0.9938 | sd1: 1.0141 | lr : 0.19988039 
Step: 2 | Loss:   1.0594 | w0: 0.0042 | w1: 0.9958 | r0: 0.2620 | r1: 0.0479 | st0: 1.0110 | st1: 1.0415 | sd0: 1.0066 | sd1: 0.9989 | lr : 0.19988039 
Step: 3 | Loss:  34.5412 | w0: 0.6473 | w1: 0.3527 | r0: 0.1157 | r1: 0.0973 | st0: 0.9344 | st1: 0.9619 | sd0: 1.0131 | sd1: 1.0068 | lr : 0.19988039 
Step: 0 | Loss:   2.0309 | w0: 0.9465 | w1: 0.0535 | r0: 0.4385 | r1: 0.6221 | st0: 0.9604 | st1: 0.9751 | sd0: 0.9982 | sd1: 1.0113 | lr : 0.19985528 
Step: 1 | Loss:   1.2884 | w0: 0.9391 | w1: 0.0609 | r0: 0.2730 | r1: 0.3205 | st0: 0.9263 | st1: 0.9990 | sd0: 0.9926 | sd1: 1.0139 | lr : 0.19985528 
Step: 2 | Loss:   1.5677 | w0: 0.0044 | w1: 0.9956 | r0: 0.2652 | r1: 0.0505 | st0: 1.0075 | st1: 1.0247 | sd0: 1.0066 | sd1: 0.9980 | lr : 0.19985528 
Step: 3 | Loss:  40.5567 | w0: 0.7267 | w1: 0.2733 | r0: 0.1314 | r1: 0.0965 | st0: 0.9176 | st1: 0.9538 | sd0: 1.0108 | sd1: 1.0064 | lr : 0.19985528 
Step: 0 | Loss:   2.9397 | w0: 0.9512 | w1: 0.0488 | r0: 0.3974 | r1: 0.6191 | st0: 0.9641 | st1: 0.9757 | sd0: 0.9970 | sd1: 1.0106 | lr : 0.19982778 
Step: 1 | Loss:   2.2297 | w0: 0.9421 | w1: 0.0579 | r0: 0.2910 | r1: 0.3185 | st0: 0.9224 | st1: 0.9993 | sd0: 0.9908 | sd1: 1.0136 | lr : 0.19982778 
Step: 2 | Loss:   1.1546 | w0: 0.0047 | w1: 0.9953 | r0: 0.2688 | r1: 0.0538 | st0: 1.0043 | st1: 1.0124 | sd0: 1.0065 | sd1: 0.9962 | lr : 0.19982778 
Step: 3 | Loss:  47.9817 | w0: 0.8029 | w1: 0.1971 | r0: 0.1584 | r1: 0.0969 | st0: 0.9015 | st1: 0.9468 | sd0: 1.0077 | sd1: 1.0054 | lr : 0.19982778 
Step: 0 | Loss:   3.6670 | w0: 0.9551 | w1: 0.0449 | r0: 0.3122 | r1: 0.6046 | st0: 0.9760 | st1: 0.9778 | sd0: 0.9965 | sd1: 1.0103 | lr : 0.19979789 
Step: 1 | Loss:   2.6266 | w0: 0.9433 | w1: 0.0567 | r0: 0.3059 | r1: 0.3171 | st0: 0.9207 | st1: 0.9995 | sd0: 0.9900 | sd1: 1.0134 | lr : 0.19979789 
Step: 2 | Loss:   0.8682 | w0: 0.0051 | w1: 0.9949 | r0: 0.2724 | r1: 0.0590 | st0: 1.0020 | st1: 1.0004 | sd0: 1.0066 | sd1: 0.9963 | lr : 0.19979789 
Step: 3 | Loss:  59.6804 | w0: 0.7396 | w1: 0.2604 | r0: 0.1475 | r1: 0.0961 | st0: 0.9066 | st1: 0.9483 | sd0: 1.0080 | sd1: 1.0055 | lr : 0.19979789 
Step: 0 | Loss:   1.9761 | w0: 0.9555 | w1: 0.0445 | r0: 0.2528 | r1: 0.5943 | st0: 0.9837 | st1: 0.9789 | sd0: 0.9972 | sd1: 1.0105 | lr : 0.19976562 
Step: 1 | Loss:   1.8471 | w0: 0.9429 | w1: 0.0571 | r0: 0.3312 | r1: 0.3163 | st0: 0.9163 | st1: 0.9995 | sd0: 0.9907 | sd1: 1.0135 | lr : 0.19976562 
Step: 2 | Loss:   0.5219 | w0: 0.0055 | w1: 0.9945 | r0: 0.2748 | r1: 0.0642 | st0: 1.0019 | st1: 0.9932 | sd0: 1.0067 | sd1: 0.9975 | lr : 0.19976562 
Step: 3 | Loss:  70.7403 | w0: 0.6040 | w1: 0.3960 | r0: 0.1289 | r1: 0.0931 | st0: 0.9173 | st1: 0.9538 | sd0: 1.0089 | sd1: 1.0058 | lr : 0.19976562 
Step: 0 | Loss:   0.4131 | w0: 0.9535 | w1: 0.0465 | r0: 0.2182 | r1: 0.5887 | st0: 0.9872 | st1: 0.9792 | sd0: 0.9986 | sd1: 1.0109 | lr : 0.19973096 
Step: 1 | Loss:   0.7310 | w0: 0.9412 | w1: 0.0588 | r0: 0.3513 | r1: 0.3159 | st0: 0.9131 | st1: 0.9994 | sd0: 0.9924 | sd1: 1.0137 | lr : 0.19973096 
Step: 2 | Loss:   0.5081 | w0: 0.0059 | w1: 0.9941 | r0: 0.2768 | r1: 0.0686 | st0: 1.0033 | st1: 0.9947 | sd0: 1.0068 | sd1: 0.9992 | lr : 0.19973096 
Step: 3 | Loss:  37.6459 | w0: 0.4150 | w1: 0.5850 | r0: 0.1146 | r1: 0.0893 | st0: 0.9309 | st1: 0.9664 | sd0: 1.0091 | sd1: 1.0057 | lr : 0.19973096 
Step: 0 | Loss:   0.6306 | w0: 0.9497 | w1: 0.0503 | r0: 0.2011 | r1: 0.5898 | st0: 0.9868 | st1: 0.9783 | sd0: 1.0003 | sd1: 1.0115 | lr : 0.19969391 
Step: 1 | Loss:   0.1241 | w0: 0.9393 | w1: 0.0607 | r0: 0.3747 | r1: 0.3162 | st0: 0.9108 | st1: 0.9993 | sd0: 0.9942 | sd1: 1.0139 | lr : 0.19969391 
Step: 2 | Loss:   0.2601 | w0: 0.0062 | w1: 0.9938 | r0: 0.2783 | r1: 0.0705 | st0: 1.0060 | st1: 1.0058 | sd0: 1.0069 | sd1: 1.0001 | lr : 0.19969391 
Step: 3 | Loss:  23.4933 | w0: 0.3308 | w1: 0.6692 | r0: 0.1120 | r1: 0.0875 | st0: 0.9369 | st1: 0.9722 | sd0: 1.0082 | sd1: 1.0041 | lr : 0.19969391 
Step: 0 | Loss:   1.9410 | w0: 0.9456 | w1: 0.0544 | r0: 0.1979 | r1: 0.6000 | st0: 0.9823 | st1: 0.9759 | sd0: 1.0011 | sd1: 1.0118 | lr : 0.19965448 
Step: 1 | Loss:   0.2957 | w0: 0.9387 | w1: 0.0613 | r0: 0.4130 | r1: 0.3170 | st0: 0.9086 | st1: 0.9991 | sd0: 0.9951 | sd1: 1.0140 | lr : 0.19965448 
Step: 2 | Loss:   0.5644 | w0: 0.0065 | w1: 0.9935 | r0: 0.2814 | r1: 0.0757 | st0: 1.0082 | st1: 1.0153 | sd0: 1.0069 | sd1: 1.0000 | lr : 0.19965448 
Step: 3 | Loss:  16.6520 | w0: 0.3552 | w1: 0.6448 | r0: 0.1228 | r1: 0.0926 | st0: 0.9367 | st1: 0.9657 | sd0: 1.0068 | sd1: 1.0012 | lr : 0.19965448 
Step: 0 | Loss:   2.7236 | w0: 0.9432 | w1: 0.0568 | r0: 0.1929 | r1: 0.6068 | st0: 0.9814 | st1: 0.9741 | sd0: 1.0016 | sd1: 1.0120 | lr : 0.19961266 
Step: 1 | Loss:   0.4620 | w0: 0.9351 | w1: 0.0649 | r0: 0.3800 | r1: 0.3185 | st0: 0.9178 | st1: 0.9991 | sd0: 0.9963 | sd1: 1.0142 | lr : 0.19961266 
Step: 2 | Loss:   0.5224 | w0: 0.0067 | w1: 0.9933 | r0: 0.2779 | r1: 0.0863 | st0: 1.0199 | st1: 1.0366 | sd0: 1.0068 | sd1: 0.9993 | lr : 0.19961266 
Step: 3 | Loss:  30.0154 | w0: 0.4473 | w1: 0.5527 | r0: 0.1454 | r1: 0.1020 | st0: 0.9314 | st1: 0.9503 | sd0: 1.0048 | sd1: 0.9973 | lr : 0.19961266 
Step: 0 | Loss:   6.6817 | w0: 0.9394 | w1: 0.0606 | r0: 0.1847 | r1: 0.6098 | st0: 0.9855 | st1: 0.9729 | sd0: 1.0030 | sd1: 1.0126 | lr : 0.19956846 
Step: 1 | Loss:   1.6683 | w0: 0.9286 | w1: 0.0714 | r0: 0.3074 | r1: 0.3203 | st0: 0.9349 | st1: 0.9994 | sd0: 0.9983 | sd1: 1.0145 | lr : 0.19956846 
Step: 2 | Loss:   1.5157 | w0: 0.0071 | w1: 0.9929 | r0: 0.2746 | r1: 0.0971 | st0: 1.0291 | st1: 1.0530 | sd0: 1.0069 | sd1: 0.9996 | lr : 0.19956846 
Step: 3 | Loss:  52.8231 | w0: 0.5480 | w1: 0.4520 | r0: 0.1669 | r1: 0.1049 | st0: 0.9266 | st1: 0.9394 | sd0: 1.0047 | sd1: 0.9962 | lr : 0.19956846 
Step: 0 | Loss:   9.6360 | w0: 0.9374 | w1: 0.0626 | r0: 0.1801 | r1: 0.6106 | st0: 0.9877 | st1: 0.9721 | sd0: 1.0038 | sd1: 1.0129 | lr : 0.19952188 
Step: 1 | Loss:   2.3285 | w0: 0.9238 | w1: 0.0762 | r0: 0.2588 | r1: 0.3209 | st0: 0.9480 | st1: 0.9996 | sd0: 0.9995 | sd1: 1.0146 | lr : 0.19952188 
Step: 2 | Loss:   2.2748 | w0: 0.0078 | w1: 0.9922 | r0: 0.2752 | r1: 0.1094 | st0: 1.0319 | st1: 1.0576 | sd0: 1.0069 | sd1: 1.0000 | lr : 0.19952188 
