Model already exists: ../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 1 | Loss:   2.4636 | w0: 0.7653 | w1: 0.2347 | r0: 0.2371 | r1: 0.3970 | st0: 1.0188 | st1: 1.0095 | sd0: 1.0042 | sd1: 1.0237 | lr : 0.19976562 
Step: 2 | Loss:  79.4020 | w0: 0.0956 | w1: 0.9044 | r0: 0.2548 | r1: 0.1193 | st0: 1.0095 | st1: 0.9967 | sd0: 0.9758 | sd1: 1.0004 | lr : 0.19976562 
Step: 0 | Loss:  50.3453 | w0: 0.9538 | w1: 0.0462 | r0: 0.0848 | r1: 0.3308 | st0: 0.9990 | st1: 0.9954 | sd0: 0.9925 | sd1: 1.0015 | lr : 0.19973096 
Step: 1 | Loss:   3.2753 | w0: 0.7211 | w1: 0.2789 | r0: 0.2662 | r1: 0.4039 | st0: 1.0196 | st1: 1.0100 | sd0: 1.0053 | sd1: 1.0242 | lr : 0.19973096 
Step: 2 | Loss:  52.6365 | w0: 0.0925 | w1: 0.9075 | r0: 0.2507 | r1: 0.1168 | st0: 1.0099 | st1: 0.9976 | sd0: 0.9758 | sd1: 1.0009 | lr : 0.19973096 
Step: 0 | Loss:  41.8469 | w0: 0.9507 | w1: 0.0493 | r0: 0.0855 | r1: 0.3328 | st0: 0.9980 | st1: 0.9947 | sd0: 0.9934 | sd1: 1.0018 | lr : 0.19969391 
Step: 1 | Loss:   5.1676 | w0: 0.6688 | w1: 0.3312 | r0: 0.2975 | r1: 0.4112 | st0: 1.0203 | st1: 1.0105 | sd0: 1.0064 | sd1: 1.0248 | lr : 0.19969391 
Step: 2 | Loss:  97.0991 | w0: 0.0898 | w1: 0.9102 | r0: 0.2470 | r1: 0.1154 | st0: 1.0104 | st1: 0.9986 | sd0: 0.9758 | sd1: 1.0014 | lr : 0.19969391 
Step: 0 | Loss:  36.5848 | w0: 0.9484 | w1: 0.0516 | r0: 0.0859 | r1: 0.3353 | st0: 0.9969 | st1: 0.9941 | sd0: 0.9939 | sd1: 1.0021 | lr : 0.19965448 
Step: 1 | Loss:   5.0635 | w0: 0.6289 | w1: 0.3711 | r0: 0.3311 | r1: 0.4191 | st0: 1.0208 | st1: 1.0109 | sd0: 1.0072 | sd1: 1.0251 | lr : 0.19965448 
Step: 2 | Loss:  61.5324 | w0: 0.0881 | w1: 0.9119 | r0: 0.2441 | r1: 0.1132 | st0: 1.0106 | st1: 0.9992 | sd0: 0.9756 | sd1: 1.0014 | lr : 0.19965448 
Step: 0 | Loss:  31.4010 | w0: 0.9457 | w1: 0.0543 | r0: 0.0881 | r1: 0.3403 | st0: 0.9955 | st1: 0.9932 | sd0: 0.9941 | sd1: 1.0023 | lr : 0.19961266 
Step: 1 | Loss:   2.9422 | w0: 0.6082 | w1: 0.3918 | r0: 0.3662 | r1: 0.4300 | st0: 1.0212 | st1: 1.0112 | sd0: 1.0076 | sd1: 1.0251 | lr : 0.19961266 
