Model already exists: ../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 1 | Loss:   0.5218 | w0: 0.7131 | w1: 0.2869 | r0: 0.3009 | r1: 0.8094 | st0: 0.9906 | st1: 0.9856 | sd0: 0.9795 | sd1: 1.0051 | lr : 0.19961266 
Step: 2 | Loss:   0.4992 | w0: 0.0895 | w1: 0.9105 | r0: 0.4182 | r1: 0.5596 | st0: 1.0163 | st1: 1.0182 | sd0: 0.9961 | sd1: 0.9914 | lr : 0.19961266 
Step: 3 | Loss:  22.8381 | w0: 0.2143 | w1: 0.7857 | r0: 0.1230 | r1: 0.1164 | st0: 0.9933 | st1: 0.9917 | sd0: 1.0059 | sd1: 0.9920 | lr : 0.19961266 
Step: 0 | Loss:   6.5523 | w0: 0.9252 | w1: 0.0748 | r0: 0.2277 | r1: 0.5963 | st0: 1.0000 | st1: 0.9877 | sd0: 1.0025 | sd1: 1.0167 | lr : 0.19952188 
Step: 1 | Loss:   0.5287 | w0: 0.6887 | w1: 0.3113 | r0: 0.3004 | r1: 0.8242 | st0: 0.9908 | st1: 0.9858 | sd0: 0.9799 | sd1: 1.0055 | lr : 0.19952188 
Step: 2 | Loss:   0.6177 | w0: 0.0993 | w1: 0.9007 | r0: 0.4011 | r1: 0.5553 | st0: 1.0169 | st1: 1.0190 | sd0: 0.9962 | sd1: 0.9917 | lr : 0.19952188 
Step: 3 | Loss:  30.0525 | w0: 0.2090 | w1: 0.7910 | r0: 0.1176 | r1: 0.1119 | st0: 0.9926 | st1: 0.9908 | sd0: 1.0055 | sd1: 0.9921 | lr : 0.19952188 
Step: 0 | Loss:   4.6653 | w0: 0.9278 | w1: 0.0722 | r0: 0.2272 | r1: 0.6036 | st0: 0.9990 | st1: 0.9867 | sd0: 1.0019 | sd1: 1.0162 | lr : 0.19942157 
Step: 1 | Loss:   0.5191 | w0: 0.6993 | w1: 0.3007 | r0: 0.2994 | r1: 0.8345 | st0: 0.9905 | st1: 0.9849 | sd0: 0.9798 | sd1: 1.0050 | lr : 0.19942157 
Step: 2 | Loss:   0.5408 | w0: 0.1067 | w1: 0.8933 | r0: 0.3839 | r1: 0.5525 | st0: 1.0170 | st1: 1.0192 | sd0: 0.9961 | sd1: 0.9916 | lr : 0.19942157 
Step: 3 | Loss:  24.6891 | w0: 0.2106 | w1: 0.7894 | r0: 0.1146 | r1: 0.1112 | st0: 0.9917 | st1: 0.9897 | sd0: 1.0054 | sd1: 0.9926 | lr : 0.19942157 
Step: 0 | Loss:   2.7671 | w0: 0.9313 | w1: 0.0687 | r0: 0.2267 | r1: 0.6122 | st0: 0.9979 | st1: 0.9855 | sd0: 1.0012 | sd1: 1.0157 | lr : 0.19931176 
Step: 1 | Loss:   0.7900 | w0: 0.7113 | w1: 0.2887 | r0: 0.3017 | r1: 0.8375 | st0: 0.9899 | st1: 0.9838 | sd0: 0.9795 | sd1: 1.0045 | lr : 0.19931176 
Step: 2 | Loss:   0.5774 | w0: 0.1112 | w1: 0.8888 | r0: 0.3646 | r1: 0.5468 | st0: 1.0172 | st1: 1.0195 | sd0: 0.9955 | sd1: 0.9911 | lr : 0.19931176 
Step: 3 | Loss:  27.7147 | w0: 0.2082 | w1: 0.7918 | r0: 0.1136 | r1: 0.1133 | st0: 0.9907 | st1: 0.9882 | sd0: 1.0052 | sd1: 0.9927 | lr : 0.19931176 
Step: 0 | Loss:   1.6392 | w0: 0.9329 | w1: 0.0671 | r0: 0.2271 | r1: 0.6214 | st0: 0.9968 | st1: 0.9843 | sd0: 1.0006 | sd1: 1.0152 | lr : 0.19919244 
Step: 1 | Loss:   1.0696 | w0: 0.7309 | w1: 0.2691 | r0: 0.2989 | r1: 0.8400 | st0: 0.9897 | st1: 0.9831 | sd0: 0.9793 | sd1: 1.0039 | lr : 0.19919244 
Step: 2 | Loss:   0.6120 | w0: 0.1163 | w1: 0.8837 | r0: 0.3451 | r1: 0.5397 | st0: 1.0174 | st1: 1.0197 | sd0: 0.9949 | sd1: 0.9905 | lr : 0.19919244 
Step: 3 | Loss:  24.6734 | w0: 0.2065 | w1: 0.7935 | r0: 0.1145 | r1: 0.1185 | st0: 0.9897 | st1: 0.9867 | sd0: 1.0050 | sd1: 0.9928 | lr : 0.19919244 
Step: 0 | Loss:   0.9604 | w0: 0.9314 | w1: 0.0686 | r0: 0.2323 | r1: 0.6356 | st0: 0.9956 | st1: 0.9832 | sd0: 1.0001 | sd1: 1.0148 | lr : 0.19906363 
Step: 1 | Loss:   1.2497 | w0: 0.7356 | w1: 0.2644 | r0: 0.2991 | r1: 0.8476 | st0: 0.9895 | st1: 0.9823 | sd0: 0.9792 | sd1: 1.0035 | lr : 0.19906363 
