Model already exists: ../epd-solver/src/lsun_bedroom_ldm/model.ckpt
The vq-f4 model already exists: ../epd-solver/models/ldm_models/first_stage_models/vq-f4/model.ckpt
Loading the pre-trained diffusion model from "../epd-solver/src/lsun_bedroom_ldm/model.ckpt"...
Global Step: 1900000
LatentDiffusion: Running in eps-prediction mode
DiffusionWrapper has 274.06 M params.
Keeping EMAs of 370.
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 3, 64, 64) = 12288 dimensions.
making attention of type 'vanilla' with 512 in_channels
Restored from models/ldm_models/first_stage_models/vq-f4/model.ckpt with 0 missing and 55 unexpected keys
Training LatentDiffusion as an unconditional model.
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:   4.1218 | w0: 0.0010 | w1: 0.9990 | r0: 0.3406 | r1: 0.0541 | sd0: 0.9878 | sd1: 1.0004 | lr : 0.19984839 
Step: 1 | Loss:   4.1751 | w0: 0.3663 | w1: 0.6337 | r0: 0.3241 | r1: 0.7998 | sd0: 0.9877 | sd1: 1.0019 | lr : 0.19984839 
Step: 2 | Loss:  12.4640 | w0: 0.2646 | w1: 0.7354 | r0: 0.2860 | r1: 0.4491 | sd0: 0.9970 | sd1: 1.0036 | lr : 0.19984839 
Step: 3 | Loss:  77.6653 | w0: 0.9593 | w1: 0.0407 | r0: 0.0909 | r1: 0.2439 | sd0: 1.0110 | sd1: 1.0211 | lr : 0.19984839 
Step: 0 | Loss:  11.3204 | w0: 0.0009 | w1: 0.9991 | r0: 0.3202 | r1: 0.0461 | sd0: 0.9879 | sd1: 0.9970 | lr : 0.19982751 
Step: 1 | Loss:   5.7797 | w0: 0.3851 | w1: 0.6149 | r0: 0.3223 | r1: 0.7920 | sd0: 0.9874 | sd1: 1.0011 | lr : 0.19982751 
Step: 2 | Loss:   5.9843 | w0: 0.2714 | w1: 0.7286 | r0: 0.2938 | r1: 0.4536 | sd0: 0.9961 | sd1: 1.0016 | lr : 0.19982751 
Step: 3 | Loss:  38.9959 | w0: 0.9560 | w1: 0.0440 | r0: 0.0995 | r1: 0.2516 | sd0: 1.0078 | sd1: 1.0203 | lr : 0.19982751 
Step: 0 | Loss:  16.6710 | w0: 0.0008 | w1: 0.9992 | r0: 0.3070 | r1: 0.0416 | sd0: 0.9880 | sd1: 0.9966 | lr : 0.19980528 
Step: 1 | Loss:   5.5192 | w0: 0.3980 | w1: 0.6020 | r0: 0.3195 | r1: 0.7545 | sd0: 0.9884 | sd1: 1.0020 | lr : 0.19980528 
Step: 2 | Loss:   7.9206 | w0: 0.2831 | w1: 0.7169 | r0: 0.2892 | r1: 0.4467 | sd0: 0.9959 | sd1: 1.0011 | lr : 0.19980528 
Step: 3 | Loss:  76.8907 | w0: 0.9527 | w1: 0.0473 | r0: 0.1055 | r1: 0.2609 | sd0: 1.0064 | sd1: 1.0200 | lr : 0.19980528 
Step: 0 | Loss:   4.7726 | w0: 0.0007 | w1: 0.9993 | r0: 0.2987 | r1: 0.0397 | sd0: 0.9881 | sd1: 0.9988 | lr : 0.19978171 
Step: 1 | Loss:   1.2742 | w0: 0.4006 | w1: 0.5994 | r0: 0.3115 | r1: 0.6549 | sd0: 0.9911 | sd1: 1.0049 | lr : 0.19978171 
Step: 2 | Loss:   2.8723 | w0: 0.3154 | w1: 0.6846 | r0: 0.2640 | r1: 0.4558 | sd0: 0.9965 | sd1: 1.0024 | lr : 0.19978171 
Step: 3 | Loss:  17.1679 | w0: 0.9505 | w1: 0.0495 | r0: 0.1113 | r1: 0.2670 | sd0: 1.0070 | sd1: 1.0204 | lr : 0.19978171 
Step: 0 | Loss:   7.6031 | w0: 0.0007 | w1: 0.9993 | r0: 0.2934 | r1: 0.0392 | sd0: 0.9881 | sd1: 1.0018 | lr : 0.19975679 
