Model already exists: ../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 2 | Loss: 147.0755 | w0: 0.1130 | w1: 0.8870 | r0: 0.3462 | r1: 0.0663 | st0: 0.9879 | st1: 1.0027 | sd0: 0.9651 | sd1: 0.9931 | lr : 0.19985528 
Step: 0 | Loss:  36.7750 | w0: 0.3571 | w1: 0.6429 | r0: 0.4214 | r1: 0.6024 | st0: 0.9931 | st1: 1.0110 | sd0: 1.0010 | sd1: 0.9978 | lr : 0.19982778 
Step: 1 | Loss:  16.5637 | w0: 0.6087 | w1: 0.3913 | r0: 0.2356 | r1: 0.3071 | st0: 1.0442 | st1: 1.0277 | sd0: 1.0096 | sd1: 1.0248 | lr : 0.19982778 
Step: 2 | Loss: 119.2188 | w0: 0.1027 | w1: 0.8973 | r0: 0.3375 | r1: 0.0585 | st0: 0.9847 | st1: 0.9988 | sd0: 0.9647 | sd1: 0.9931 | lr : 0.19982778 
Step: 0 | Loss:  22.5403 | w0: 0.3782 | w1: 0.6218 | r0: 0.4073 | r1: 0.5750 | st0: 0.9942 | st1: 1.0139 | sd0: 1.0003 | sd1: 0.9965 | lr : 0.19979789 
Step: 1 | Loss:  12.3516 | w0: 0.6374 | w1: 0.3626 | r0: 0.2541 | r1: 0.3151 | st0: 1.0426 | st1: 1.0277 | sd0: 1.0084 | sd1: 1.0241 | lr : 0.19979789 
Step: 2 | Loss: 136.0134 | w0: 0.0957 | w1: 0.9043 | r0: 0.3311 | r1: 0.0528 | st0: 0.9819 | st1: 0.9948 | sd0: 0.9645 | sd1: 0.9937 | lr : 0.19979789 
Step: 0 | Loss:  30.2237 | w0: 0.3912 | w1: 0.6088 | r0: 0.3947 | r1: 0.5511 | st0: 0.9951 | st1: 1.0163 | sd0: 0.9992 | sd1: 0.9951 | lr : 0.19976562 
Step: 1 | Loss:  15.5869 | w0: 0.6685 | w1: 0.3315 | r0: 0.2771 | r1: 0.3251 | st0: 1.0404 | st1: 1.0274 | sd0: 1.0070 | sd1: 1.0232 | lr : 0.19976562 
Step: 2 | Loss:  81.4947 | w0: 0.0932 | w1: 0.9068 | r0: 0.3285 | r1: 0.0486 | st0: 0.9789 | st1: 0.9905 | sd0: 0.9643 | sd1: 0.9945 | lr : 0.19976562 
Step: 0 | Loss:  37.5304 | w0: 0.3998 | w1: 0.6002 | r0: 0.3832 | r1: 0.5279 | st0: 0.9964 | st1: 1.0189 | sd0: 0.9981 | sd1: 0.9936 | lr : 0.19973096 
Step: 1 | Loss:   7.8706 | w0: 0.7009 | w1: 0.2991 | r0: 0.3009 | r1: 0.3355 | st0: 1.0378 | st1: 1.0270 | sd0: 1.0055 | sd1: 1.0222 | lr : 0.19973096 
Step: 2 | Loss:  71.8354 | w0: 0.0917 | w1: 0.9083 | r0: 0.3277 | r1: 0.0456 | st0: 0.9762 | st1: 0.9860 | sd0: 0.9643 | sd1: 0.9956 | lr : 0.19973096 
Step: 0 | Loss:  45.6203 | w0: 0.4151 | w1: 0.5849 | r0: 0.3650 | r1: 0.4996 | st0: 0.9979 | st1: 1.0217 | sd0: 0.9969 | sd1: 0.9922 | lr : 0.19969391 
Step: 1 | Loss:  11.7191 | w0: 0.7285 | w1: 0.2715 | r0: 0.3232 | r1: 0.3456 | st0: 1.0349 | st1: 1.0264 | sd0: 1.0041 | sd1: 1.0213 | lr : 0.19969391 
Step: 2 | Loss:  93.6791 | w0: 0.0909 | w1: 0.9091 | r0: 0.3277 | r1: 0.0435 | st0: 0.9738 | st1: 0.9820 | sd0: 0.9643 | sd1: 0.9969 | lr : 0.19969391 
Step: 0 | Loss:  63.9329 | w0: 0.4315 | w1: 0.5685 | r0: 0.3412 | r1: 0.4690 | st0: 0.9995 | st1: 1.0242 | sd0: 0.9956 | sd1: 0.9907 | lr : 0.19965448 
Step: 1 | Loss:   7.0603 | w0: 0.7550 | w1: 0.2450 | r0: 0.3503 | r1: 0.3564 | st0: 1.0314 | st1: 1.0257 | sd0: 1.0026 | sd1: 1.0204 | lr : 0.19965448 
Step: 2 | Loss: 105.4732 | w0: 0.0917 | w1: 0.9083 | r0: 0.3282 | r1: 0.0423 | st0: 0.9718 | st1: 0.9778 | sd0: 0.9645 | sd1: 0.9983 | lr : 0.19965448 
Step: 0 | Loss:  84.9946 | w0: 0.4398 | w1: 0.5602 | r0: 0.3224 | r1: 0.4421 | st0: 1.0004 | st1: 1.0263 | sd0: 0.9942 | sd1: 0.9892 | lr : 0.19961266 
Step: 1 | Loss:   9.3243 | w0: 0.7772 | w1: 0.2228 | r0: 0.3845 | r1: 0.3683 | st0: 1.0275 | st1: 1.0248 | sd0: 1.0012 | sd1: 1.0196 | lr : 0.19961266 
Step: 2 | Loss: 140.5638 | w0: 0.0933 | w1: 0.9067 | r0: 0.3292 | r1: 0.0419 | st0: 0.9703 | st1: 0.9742 | sd0: 0.9646 | sd1: 0.9998 | lr : 0.19961266 
Step: 0 | Loss:  92.6718 | w0: 0.4600 | w1: 0.5400 | r0: 0.3091 | r1: 0.4210 | st0: 1.0012 | st1: 1.0280 | sd0: 0.9938 | sd1: 0.9884 | lr : 0.19956846 
Step: 1 | Loss:   8.3964 | w0: 0.7872 | w1: 0.2128 | r0: 0.4125 | r1: 0.3787 | st0: 1.0272 | st1: 1.0244 | sd0: 1.0007 | sd1: 1.0190 | lr : 0.19956846 
Step: 2 | Loss: 130.2043 | w0: 0.0945 | w1: 0.9055 | r0: 0.3295 | r1: 0.0416 | st0: 0.9692 | st1: 0.9726 | sd0: 0.9648 | sd1: 1.0013 | lr : 0.19956846 
Step: 0 | Loss:  88.9291 | w0: 0.4886 | w1: 0.5114 | r0: 0.3002 | r1: 0.4035 | st0: 1.0012 | st1: 1.0294 | sd0: 0.9939 | sd1: 0.9882 | lr : 0.19952188 
Step: 1 | Loss:  10.0108 | w0: 0.7867 | w1: 0.2133 | r0: 0.4431 | r1: 0.3886 | st0: 1.0277 | st1: 1.0241 | sd0: 1.0008 | sd1: 1.0187 | lr : 0.19952188 
Step: 2 | Loss: 184.1065 | w0: 0.0936 | w1: 0.9064 | r0: 0.3279 | r1: 0.0414 | st0: 0.9688 | st1: 0.9725 | sd0: 0.9650 | sd1: 1.0029 | lr : 0.19952188 
Step: 0 | Loss:  71.7727 | w0: 0.5332 | w1: 0.4668 | r0: 0.3045 | r1: 0.3952 | st0: 0.9999 | st1: 1.0302 | sd0: 0.9949 | sd1: 0.9886 | lr : 0.19947291 
Step: 1 | Loss:   8.9526 | w0: 0.7689 | w1: 0.2311 | r0: 0.4738 | r1: 0.3979 | st0: 1.0296 | st1: 1.0244 | sd0: 1.0019 | sd1: 1.0189 | lr : 0.19947291 
Step: 2 | Loss: 154.0633 | w0: 0.0916 | w1: 0.9084 | r0: 0.3252 | r1: 0.0417 | st0: 0.9690 | st1: 0.9742 | sd0: 0.9652 | sd1: 1.0044 | lr : 0.19947291 
Step: 0 | Loss:  49.4485 | w0: 0.5860 | w1: 0.4140 | r0: 0.3103 | r1: 0.3894 | st0: 0.9986 | st1: 1.0308 | sd0: 0.9961 | sd1: 0.9892 | lr : 0.19942157 
Step: 1 | Loss:   5.3122 | w0: 0.7472 | w1: 0.2528 | r0: 0.5074 | r1: 0.4067 | st0: 1.0320 | st1: 1.0248 | sd0: 1.0030 | sd1: 1.0192 | lr : 0.19942157 
Step: 2 | Loss:  63.9342 | w0: 0.0895 | w1: 0.9105 | r0: 0.3219 | r1: 0.0422 | st0: 0.9696 | st1: 0.9761 | sd0: 0.9655 | sd1: 1.0060 | lr : 0.19942157 
