Model already exists: ../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 2 | Loss:  10.4657 | w0: 0.9355 | w1: 0.0645 | r0: 0.4659 | r1: 0.2269 | st0: 1.0350 | st1: 0.9642 | sd0: 1.0437 | sd1: 1.0137 | lr : 0.09996374 
Step: 3 | Loss:   6.4764 | w0: 0.8752 | w1: 0.1248 | r0: 0.3441 | r1: 0.4406 | st0: 1.0919 | st1: 0.9926 | sd0: 1.0235 | sd1: 1.0023 | lr : 0.09996374 
Step: 4 | Loss: 151.1106 | w0: 0.8825 | w1: 0.1175 | r0: 0.3307 | r1: 0.6277 | st0: 0.8891 | st1: 0.9161 | sd0: 0.9687 | sd1: 0.9472 | lr : 0.09996374 
Step: 0 | Loss:  25.4360 | w0: 0.1868 | w1: 0.8132 | r0: 0.2521 | r1: 0.4221 | st0: 1.0618 | st1: 1.0953 | sd0: 0.9677 | sd1: 1.0142 | lr : 0.09995411 
Step: 1 | Loss:  16.9543 | w0: 0.4629 | w1: 0.5371 | r0: 0.1791 | r1: 0.5118 | st0: 0.9543 | st1: 0.9593 | sd0: 1.0121 | sd1: 1.0078 | lr : 0.09995411 
Step: 2 | Loss:  17.9682 | w0: 0.9451 | w1: 0.0549 | r0: 0.5231 | r1: 0.2451 | st0: 1.0217 | st1: 0.9610 | sd0: 1.0466 | sd1: 1.0155 | lr : 0.09995411 
Step: 3 | Loss:  11.9206 | w0: 0.8700 | w1: 0.1300 | r0: 0.4118 | r1: 0.5103 | st0: 1.0800 | st1: 0.9877 | sd0: 1.0274 | sd1: 1.0048 | lr : 0.09995411 
Step: 4 | Loss: 172.1755 | w0: 0.8884 | w1: 0.1116 | r0: 0.3145 | r1: 0.6382 | st0: 0.8790 | st1: 0.9062 | sd0: 0.9631 | sd1: 0.9438 | lr : 0.09995411 
Step: 0 | Loss:  13.1691 | w0: 0.1984 | w1: 0.8016 | r0: 0.2335 | r1: 0.3772 | st0: 1.0714 | st1: 1.1044 | sd0: 0.9669 | sd1: 1.0130 | lr : 0.09994334 
Step: 1 | Loss:  11.4733 | w0: 0.4568 | w1: 0.5432 | r0: 0.1752 | r1: 0.5277 | st0: 0.9526 | st1: 0.9565 | sd0: 1.0121 | sd1: 1.0075 | lr : 0.09994334 
Step: 2 | Loss:  15.6713 | w0: 0.9458 | w1: 0.0542 | r0: 0.5667 | r1: 0.2630 | st0: 1.0047 | st1: 0.9570 | sd0: 1.0470 | sd1: 1.0162 | lr : 0.09994334 
Step: 3 | Loss:  10.0697 | w0: 0.8443 | w1: 0.1557 | r0: 0.4431 | r1: 0.5496 | st0: 1.0654 | st1: 0.9803 | sd0: 1.0284 | sd1: 1.0055 | lr : 0.09994334 
Step: 4 | Loss: 206.7358 | w0: 0.8412 | w1: 0.1588 | r0: 0.3074 | r1: 0.6841 | st0: 0.8686 | st1: 0.8950 | sd0: 0.9562 | sd1: 0.9397 | lr : 0.09994334 
Step: 0 | Loss:   5.9154 | w0: 0.2484 | w1: 0.7516 | r0: 0.2334 | r1: 0.3655 | st0: 1.0762 | st1: 1.1091 | sd0: 0.9636 | sd1: 1.0089 | lr : 0.09993145 
Step: 1 | Loss:   2.4772 | w0: 0.4342 | w1: 0.5658 | r0: 0.1705 | r1: 0.5363 | st0: 0.9491 | st1: 0.9529 | sd0: 1.0099 | sd1: 1.0047 | lr : 0.09993145 
Step: 2 | Loss:  11.3914 | w0: 0.9374 | w1: 0.0626 | r0: 0.5854 | r1: 0.2823 | st0: 0.9911 | st1: 0.9512 | sd0: 1.0446 | sd1: 1.0153 | lr : 0.09993145 
Step: 3 | Loss:  14.3223 | w0: 0.7948 | w1: 0.2052 | r0: 0.4240 | r1: 0.5426 | st0: 1.0497 | st1: 0.9699 | sd0: 1.0271 | sd1: 1.0045 | lr : 0.09993145 
Step: 4 | Loss:  93.8699 | w0: 0.7370 | w1: 0.2630 | r0: 0.2579 | r1: 0.7367 | st0: 0.8599 | st1: 0.8845 | sd0: 0.9494 | sd1: 0.9357 | lr : 0.09993145 
Step: 0 | Loss:  35.2054 | w0: 0.2870 | w1: 0.7130 | r0: 0.2272 | r1: 0.3537 | st0: 1.0794 | st1: 1.1120 | sd0: 0.9614 | sd1: 1.0061 | lr : 0.09991842 
Step: 1 | Loss:   6.0747 | w0: 0.4240 | w1: 0.5760 | r0: 0.1652 | r1: 0.5387 | st0: 0.9490 | st1: 0.9518 | sd0: 1.0078 | sd1: 1.0020 | lr : 0.09991842 
Step: 2 | Loss:   2.6407 | w0: 0.9248 | w1: 0.0752 | r0: 0.5878 | r1: 0.2982 | st0: 0.9811 | st1: 0.9455 | sd0: 1.0416 | sd1: 1.0141 | lr : 0.09991842 
Step: 3 | Loss:   4.2000 | w0: 0.7391 | w1: 0.2609 | r0: 0.3975 | r1: 0.5247 | st0: 1.0368 | st1: 0.9604 | sd0: 1.0253 | sd1: 1.0029 | lr : 0.09991842 
Step: 4 | Loss: 134.1015 | w0: 0.7257 | w1: 0.2743 | r0: 0.2060 | r1: 0.7538 | st0: 0.8576 | st1: 0.8804 | sd0: 0.9467 | sd1: 0.9342 | lr : 0.09991842 
Step: 0 | Loss:  61.9700 | w0: 0.3066 | w1: 0.6934 | r0: 0.2153 | r1: 0.3388 | st0: 1.0812 | st1: 1.1139 | sd0: 0.9605 | sd1: 1.0046 | lr : 0.09990427 
Step: 1 | Loss:  14.1699 | w0: 0.4207 | w1: 0.5793 | r0: 0.1606 | r1: 0.5353 | st0: 0.9509 | st1: 0.9541 | sd0: 1.0059 | sd1: 0.9995 | lr : 0.09990427 
Step: 2 | Loss:   4.4337 | w0: 0.9131 | w1: 0.0869 | r0: 0.5969 | r1: 0.3081 | st0: 0.9739 | st1: 0.9422 | sd0: 1.0389 | sd1: 1.0129 | lr : 0.09990427 
Step: 3 | Loss:  10.2082 | w0: 0.6752 | w1: 0.3248 | r0: 0.3854 | r1: 0.5182 | st0: 1.0252 | st1: 0.9510 | sd0: 1.0240 | sd1: 1.0016 | lr : 0.09990427 
Step: 4 | Loss: 206.4146 | w0: 0.7678 | w1: 0.2322 | r0: 0.1631 | r1: 0.7565 | st0: 0.8584 | st1: 0.8790 | sd0: 0.9458 | sd1: 0.9335 | lr : 0.09990427 
Step: 0 | Loss:  38.4499 | w0: 0.2833 | w1: 0.7167 | r0: 0.2151 | r1: 0.3316 | st0: 1.0780 | st1: 1.1136 | sd0: 0.9621 | sd1: 1.0052 | lr : 0.09988898 
Step: 1 | Loss:   8.0734 | w0: 0.4567 | w1: 0.5433 | r0: 0.1550 | r1: 0.5208 | st0: 0.9517 | st1: 0.9579 | sd0: 1.0056 | sd1: 0.9991 | lr : 0.09988898 
Step: 2 | Loss:   3.3431 | w0: 0.9109 | w1: 0.0891 | r0: 0.5849 | r1: 0.2969 | st0: 0.9819 | st1: 0.9485 | sd0: 1.0377 | sd1: 1.0125 | lr : 0.09988898 
Step: 3 | Loss:   7.2284 | w0: 0.6841 | w1: 0.3159 | r0: 0.3771 | r1: 0.4885 | st0: 1.0231 | st1: 0.9572 | sd0: 1.0233 | sd1: 1.0010 | lr : 0.09988898 
Step: 4 | Loss:  78.7652 | w0: 0.8228 | w1: 0.1772 | r0: 0.1313 | r1: 0.7520 | st0: 0.8614 | st1: 0.8788 | sd0: 0.9461 | sd1: 0.9333 | lr : 0.09988898 
Step: 0 | Loss:   2.3032 | w0: 0.2199 | w1: 0.7801 | r0: 0.2136 | r1: 0.3252 | st0: 1.0739 | st1: 1.1127 | sd0: 0.9665 | sd1: 1.0084 | lr : 0.09987256 
Step: 1 | Loss:   5.2536 | w0: 0.5595 | w1: 0.4405 | r0: 0.1430 | r1: 0.4916 | st0: 0.9540 | st1: 0.9627 | sd0: 1.0072 | sd1: 1.0013 | lr : 0.09987256 
Step: 2 | Loss:  16.0626 | w0: 0.9149 | w1: 0.0851 | r0: 0.5617 | r1: 0.2795 | st0: 0.9944 | st1: 0.9583 | sd0: 1.0379 | sd1: 1.0128 | lr : 0.09987256 
Step: 3 | Loss:  22.6992 | w0: 0.7164 | w1: 0.2836 | r0: 0.3801 | r1: 0.4790 | st0: 1.0239 | st1: 0.9677 | sd0: 1.0234 | sd1: 1.0017 | lr : 0.09987256 
Step: 4 | Loss:  63.0619 | w0: 0.8807 | w1: 0.1193 | r0: 0.1118 | r1: 0.7407 | st0: 0.8665 | st1: 0.8799 | sd0: 0.9478 | sd1: 0.9336 | lr : 0.09987256 
Step: 0 | Loss:  13.9075 | w0: 0.1741 | w1: 0.8259 | r0: 0.2085 | r1: 0.3185 | st0: 1.0675 | st1: 1.1107 | sd0: 0.9705 | sd1: 1.0111 | lr : 0.09985501 
Step: 1 | Loss:   7.9939 | w0: 0.6463 | w1: 0.3537 | r0: 0.1315 | r1: 0.4645 | st0: 0.9592 | st1: 0.9687 | sd0: 1.0083 | sd1: 1.0029 | lr : 0.09985501 
Step: 2 | Loss:  10.2526 | w0: 0.9153 | w1: 0.0847 | r0: 0.5633 | r1: 0.2746 | st0: 0.9971 | st1: 0.9627 | sd0: 1.0378 | sd1: 1.0129 | lr : 0.09985501 
Step: 3 | Loss:   8.7827 | w0: 0.7043 | w1: 0.2957 | r0: 0.3884 | r1: 0.5060 | st0: 1.0183 | st1: 0.9708 | sd0: 1.0235 | sd1: 1.0023 | lr : 0.09985501 
Step: 4 | Loss:  76.6045 | w0: 0.9188 | w1: 0.0812 | r0: 0.1063 | r1: 0.7264 | st0: 0.8695 | st1: 0.8816 | sd0: 0.9503 | sd1: 0.9342 | lr : 0.09985501 
Step: 0 | Loss:  14.9265 | w0: 0.1662 | w1: 0.8338 | r0: 0.2261 | r1: 0.3374 | st0: 1.0621 | st1: 1.1085 | sd0: 0.9712 | sd1: 1.0107 | lr : 0.09983633 
Step: 1 | Loss:   6.6318 | w0: 0.6294 | w1: 0.3706 | r0: 0.1354 | r1: 0.4733 | st0: 0.9559 | st1: 0.9671 | sd0: 1.0067 | sd1: 1.0025 | lr : 0.09983633 
Step: 2 | Loss:   7.9203 | w0: 0.9092 | w1: 0.0908 | r0: 0.5713 | r1: 0.2671 | st0: 0.9956 | st1: 0.9652 | sd0: 1.0370 | sd1: 1.0125 | lr : 0.09983633 
Step: 3 | Loss:   4.4771 | w0: 0.6729 | w1: 0.3271 | r0: 0.3965 | r1: 0.5344 | st0: 1.0105 | st1: 0.9693 | sd0: 1.0233 | sd1: 1.0022 | lr : 0.09983633 
Step: 4 | Loss: 192.5751 | w0: 0.9366 | w1: 0.0634 | r0: 0.1071 | r1: 0.7123 | st0: 0.8705 | st1: 0.8836 | sd0: 0.9525 | sd1: 0.9349 | lr : 0.09983633 
Step: 0 | Loss:   1.5104 | w0: 0.1825 | w1: 0.8175 | r0: 0.2706 | r1: 0.3912 | st0: 1.0586 | st1: 1.1064 | sd0: 0.9696 | sd1: 1.0076 | lr : 0.09981652 
Step: 1 | Loss:   0.9440 | w0: 0.5537 | w1: 0.4463 | r0: 0.1498 | r1: 0.5034 | st0: 0.9451 | st1: 0.9593 | sd0: 1.0035 | sd1: 1.0011 | lr : 0.09981652 
Step: 2 | Loss:   3.6960 | w0: 0.9011 | w1: 0.0989 | r0: 0.5803 | r1: 0.2600 | st0: 0.9942 | st1: 0.9674 | sd0: 1.0357 | sd1: 1.0117 | lr : 0.09981652 
Step: 3 | Loss:   2.4930 | w0: 0.6306 | w1: 0.3694 | r0: 0.4023 | r1: 0.5607 | st0: 1.0019 | st1: 0.9640 | sd0: 1.0229 | sd1: 1.0015 | lr : 0.09981652 
Step: 4 | Loss: 100.7926 | w0: 0.9476 | w1: 0.0524 | r0: 0.1145 | r1: 0.6987 | st0: 0.8697 | st1: 0.8855 | sd0: 0.9549 | sd1: 0.9356 | lr : 0.09981652 
Step: 0 | Loss:   4.8850 | w0: 0.1985 | w1: 0.8015 | r0: 0.2716 | r1: 0.3944 | st0: 1.0616 | st1: 1.1089 | sd0: 0.9683 | sd1: 1.0052 | lr : 0.09979559 
Step: 1 | Loss:   1.5002 | w0: 0.5207 | w1: 0.4793 | r0: 0.1545 | r1: 0.5149 | st0: 0.9404 | st1: 0.9558 | sd0: 1.0010 | sd1: 0.9998 | lr : 0.09979559 
Step: 2 | Loss:   2.1482 | w0: 0.8934 | w1: 0.1066 | r0: 0.5749 | r1: 0.2588 | st0: 0.9938 | st1: 0.9685 | sd0: 1.0345 | sd1: 1.0109 | lr : 0.09979559 
Step: 3 | Loss:   2.8585 | w0: 0.5798 | w1: 0.4202 | r0: 0.4051 | r1: 0.5956 | st0: 0.9927 | st1: 0.9539 | sd0: 1.0225 | sd1: 1.0009 | lr : 0.09979559 
Step: 4 | Loss: 129.2361 | w0: 0.9548 | w1: 0.0452 | r0: 0.1271 | r1: 0.6838 | st0: 0.8680 | st1: 0.8877 | sd0: 0.9579 | sd1: 0.9363 | lr : 0.09979559 
Step: 0 | Loss:   9.4240 | w0: 0.2050 | w1: 0.7950 | r0: 0.2519 | r1: 0.3769 | st0: 1.0665 | st1: 1.1122 | sd0: 0.9678 | sd1: 1.0042 | lr : 0.09977352 
Step: 1 | Loss:   3.1655 | w0: 0.5118 | w1: 0.4882 | r0: 0.1540 | r1: 0.5185 | st0: 0.9382 | st1: 0.9534 | sd0: 0.9997 | sd1: 0.9992 | lr : 0.09977352 
Step: 2 | Loss:   3.2420 | w0: 0.8901 | w1: 0.1099 | r0: 0.5760 | r1: 0.2580 | st0: 0.9925 | st1: 0.9707 | sd0: 1.0340 | sd1: 1.0106 | lr : 0.09977352 
Step: 3 | Loss:   6.3767 | w0: 0.5599 | w1: 0.4401 | r0: 0.4125 | r1: 0.6139 | st0: 0.9843 | st1: 0.9560 | sd0: 1.0226 | sd1: 1.0014 | lr : 0.09977352 
Step: 4 | Loss:  99.9052 | w0: 0.9607 | w1: 0.0393 | r0: 0.1397 | r1: 0.6708 | st0: 0.8684 | st1: 0.8893 | sd0: 0.9612 | sd1: 0.9369 | lr : 0.09977352 
Step: 0 | Loss:   5.0204 | w0: 0.1977 | w1: 0.8023 | r0: 0.2207 | r1: 0.3476 | st0: 1.0721 | st1: 1.1156 | sd0: 0.9687 | sd1: 1.0048 | lr : 0.09975033 
Step: 1 | Loss:   1.6131 | w0: 0.5231 | w1: 0.4769 | r0: 0.1499 | r1: 0.5139 | st0: 0.9386 | st1: 0.9540 | sd0: 1.0000 | sd1: 0.9998 | lr : 0.09975033 
