Model already exists: ../epd-solver/src/lsun_bedroom_ldm/model.ckpt
The vq-f4 model already exists: ../epd-solver/models/ldm_models/first_stage_models/vq-f4/model.ckpt
Loading the pre-trained diffusion model from "../epd-solver/src/lsun_bedroom_ldm/model.ckpt"...
Global Step: 1900000
LatentDiffusion: Running in eps-prediction mode
DiffusionWrapper has 274.06 M params.
Keeping EMAs of 370.
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 3, 64, 64) = 12288 dimensions.
making attention of type 'vanilla' with 512 in_channels
Restored from models/ldm_models/first_stage_models/vq-f4/model.ckpt with 0 missing and 55 unexpected keys
Training LatentDiffusion as an unconditional model.
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 1 | Loss:  62.7145 | w0: 0.1164 | w1: 0.8836 | r0: 0.2293 | r1: 0.2167 | sd0: 0.9907 | sd1: 1.0057 | lr : 0.09977352 
Step: 0 | Loss:  12.0088 | w0: 0.2769 | w1: 0.7231 | r0: 0.4161 | r1: 0.1087 | sd0: 1.0004 | sd1: 0.9989 | lr : 0.09975033 
Step: 1 | Loss:  63.5901 | w0: 0.1151 | w1: 0.8849 | r0: 0.2275 | r1: 0.2083 | sd0: 0.9911 | sd1: 1.0062 | lr : 0.09975033 
Step: 0 | Loss:   8.9362 | w0: 0.2787 | w1: 0.7213 | r0: 0.4215 | r1: 0.1051 | sd0: 1.0007 | sd1: 0.9991 | lr : 0.09972601 
Step: 1 | Loss:  93.7515 | w0: 0.1143 | w1: 0.8857 | r0: 0.2273 | r1: 0.2017 | sd0: 0.9914 | sd1: 1.0066 | lr : 0.09972601 
Step: 0 | Loss:  10.5447 | w0: 0.2799 | w1: 0.7201 | r0: 0.4270 | r1: 0.1022 | sd0: 1.0009 | sd1: 0.9992 | lr : 0.09970056 
Step: 1 | Loss:  57.2844 | w0: 0.1136 | w1: 0.8864 | r0: 0.2288 | r1: 0.1978 | sd0: 0.9916 | sd1: 1.0069 | lr : 0.09970056 
Step: 0 | Loss:   9.5033 | w0: 0.2803 | w1: 0.7197 | r0: 0.4323 | r1: 0.0997 | sd0: 1.0009 | sd1: 0.9992 | lr : 0.09967399 
Step: 1 | Loss:  77.1879 | w0: 0.1153 | w1: 0.8847 | r0: 0.2345 | r1: 0.1990 | sd0: 0.9916 | sd1: 1.0069 | lr : 0.09967399 
Step: 0 | Loss:  10.5781 | w0: 0.2859 | w1: 0.7141 | r0: 0.4400 | r1: 0.0997 | sd0: 1.0009 | sd1: 0.9991 | lr : 0.09964629 
Step: 1 | Loss:  42.6684 | w0: 0.1181 | w1: 0.8819 | r0: 0.2413 | r1: 0.2034 | sd0: 0.9916 | sd1: 1.0068 | lr : 0.09964629 
Step: 0 | Loss:  10.6183 | w0: 0.2947 | w1: 0.7053 | r0: 0.4504 | r1: 0.1009 | sd0: 1.0007 | sd1: 0.9989 | lr : 0.09961747 
Step: 1 | Loss:  89.5981 | w0: 0.1222 | w1: 0.8778 | r0: 0.2496 | r1: 0.2127 | sd0: 0.9915 | sd1: 1.0066 | lr : 0.09961747 
Step: 0 | Loss:  12.5324 | w0: 0.3060 | w1: 0.6940 | r0: 0.4641 | r1: 0.1012 | sd0: 1.0005 | sd1: 0.9986 | lr : 0.09958753 
Step: 1 | Loss:  95.3854 | w0: 0.1283 | w1: 0.8717 | r0: 0.2620 | r1: 0.2243 | sd0: 0.9911 | sd1: 1.0061 | lr : 0.09958753 
Step: 0 | Loss:  21.6706 | w0: 0.3141 | w1: 0.6859 | r0: 0.4769 | r1: 0.0999 | sd0: 1.0003 | sd1: 0.9984 | lr : 0.09955646 
Step: 1 | Loss:  69.5299 | w0: 0.1329 | w1: 0.8671 | r0: 0.2719 | r1: 0.2316 | sd0: 0.9909 | sd1: 1.0057 | lr : 0.09955646 
Step: 0 | Loss:  14.4252 | w0: 0.3149 | w1: 0.6851 | r0: 0.4854 | r1: 0.0972 | sd0: 1.0001 | sd1: 0.9981 | lr : 0.09952427 
Step: 1 | Loss:  66.2764 | w0: 0.1346 | w1: 0.8654 | r0: 0.2779 | r1: 0.2336 | sd0: 0.9907 | sd1: 1.0054 | lr : 0.09952427 
Step: 0 | Loss:  18.7848 | w0: 0.3133 | w1: 0.6867 | r0: 0.4916 | r1: 0.0936 | sd0: 0.9999 | sd1: 0.9979 | lr : 0.09949096 
Step: 1 | Loss: 117.3919 | w0: 0.1347 | w1: 0.8653 | r0: 0.2807 | r1: 0.2348 | sd0: 0.9906 | sd1: 1.0052 | lr : 0.09949096 
Step: 0 | Loss:  21.3538 | w0: 0.3106 | w1: 0.6894 | r0: 0.4951 | r1: 0.0907 | sd0: 0.9998 | sd1: 0.9978 | lr : 0.09945652 
Step: 1 | Loss: 122.0699 | w0: 0.1324 | w1: 0.8676 | r0: 0.2796 | r1: 0.2367 | sd0: 0.9906 | sd1: 1.0053 | lr : 0.09945652 
